Charge Type,Charge Group,Charge Category ,Charge Code,Charge Name,Base Rate,LOCAL,GCC,Resident,SHC-GCC,RHC-GCC,SHC,RHC,Visitor,Servant,Handicap,Baby
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900000072,Methylene Blue 10 mg/mL (10 mL) INJ,18.146,0,0,3.629,1.815,1.815,1.815,1.815,24.497,3.629,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001039,Amoxicillin/Clavulanate 875mg/125mg TAB,0.571,0,0,2,0.057,0.057,0.057,0.057,0.77,0.114,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001401,Potassium chloride 20 mEq/1000 mL in (dextrose 5% AND sodium chloride 0.45%) BAG,9.994,0,0,2,0.999,0.999,0.999,0.999,13.492,1.999,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001402,Potassium chloride 0.2 mEq (0.2 mmol)/mL (20 mEq in 100 mL) BAG,6.642,0,0,2,0.664,0.664,0.664,0.664,8.966,1.328,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001404,DOPamine 1600 mcg/mL (250 mL) premix BAG,43.928,0,0,8.786,4.393,4.393,4.393,4.393,59.303,8.786,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001405,DOBUTamine 1000 mcg/mL (250 mL) premix BAG,112.353,0,0,22.471,11.235,11.235,11.235,11.235,151.676,22.471,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001407,Dextrose 5% (50mL Minibag Plus) BAG,9.394,0,0,2,0.939,0.939,0.939,0.939,12.682,1.879,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001408,Dextrose 5% (100mL Minibag Plus) BAG,10.418,0,0,2.084,1.042,1.042,1.042,1.042,14.065,2.084,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001409,Sodium Chloride 0.9% (50mL Minibag Plus)BAG,8.03,0,0,2,0.803,0.803,0.803,0.803,10.841,1.606,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001410,Sodium Chloride0.9%(100mL Minibag Plus)BAG,7.3,0,0,2,0.73,0.73,0.73,0.73,9.855,1.46,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001411,Potassium Chloride 10 mEq in 5%Dex.+ 0.225% Sod.Chloride 500 mL,7.118,0,0,2,0.712,0.712,0.712,0.712,9.609,1.424,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001505,Sodium Phenylacetate/Sodium Benzoate 100mg/1,15968.879,0,0,3193.776,1596.888,1596.888,1596.888,1596.888,21557.987,3193.776,0,0
